Model,Wins,Losses,Ties,Total,Win Rate
Qwen3-4B-Instruct Two-Shot T=0.0,45,5,19,69,0.6521739130434783
gemma-3-4b-it Two-Shot T=0.0,24,10,11,45,0.5333333333333333
gemma-3-4b-it One-Shot T=0.0,5,4,2,11,0.45454545454545453
Ministral-3-8B-Instruct Two-Shot T=0.0,23,12,17,52,0.4423076923076923
granite-4.0-micro One-Shot T=0.0,11,7,7,25,0.44
Qwen3-4B-Instruct One-Shot T=0.0,25,20,21,66,0.3787878787878788
Ministral-3-8B-Instruct One-Shot T=0.0,9,16,1,26,0.34615384615384615
Ministral-3-3B-Reasoning Two-Shot T=0.0,18,17,18,53,0.33962264150943394
granite-4.0-micro Two-Shot T=0.0,17,13,23,53,0.32075471698113206
Ministral-3-3B-Reasoning One-Shot T=0.0,8,17,5,30,0.26666666666666666
Pynguin (Baseline),1,65,6,72,0.013888888888888888
