id,repo,func_name,dependency_level,level_confidence,cyclomatic_complexity,loc,manual_label,notes
rwt2_9988f68bc34e,zauberzeug/rosys,find_ip,L3,heuristic,3,6,Agree,
rwt2_0b2336a51e91,tyxak/remotepower,_record_fleet_event,L3,heuristic,12,71,Agree,
rwt2_bd5b492372ed,sstklen/trump-code,load_today_data,L3,heuristic,5,17,Agree,
rwt2_7ae58a5c2c8f,vortex-exoplanet/VIP,cevr_to_ncomp,L2,heuristic,5,19,Agree,
rwt2_99ed6aee2312,unionai-oss/pandera,check_shape,L0,heuristic,6,25,Agree,
rwt2_c3ce53fc3cf0,rocketride-org/rocketride-server,scrape_url,L0,heuristic,10,19,Disagree (L3),Network IO is required to scrape a URL
rwt2_658bc8e23d3f,MechanicalSoup/MechanicalSoup,download_link,L2,heuristic,4,28,Disagree (L3),Network and File IO are required to download a link
rwt2_60b5ef76277b,yukinarit/pyserde,main,L3,heuristic,4,23,Agree,
rwt2_08b3559022bd,tyxak/remotepower,_sanitize_str,L0,heuristic,4,8,Agree,
rwt2_08ace22793aa,kstevica/captain-claw,print_tool_call,L1,heuristic,3,8,Agree,
rwt2_e157cc9b93af,tyxak/remotepower,handle_webterm_session_audit,L3,heuristic,9,37,Agree,
rwt2_75811d5a190c,tyxak/remotepower,_valid_abs_path,L0,heuristic,5,10,Agree,
rwt2_4c639897b3dd,BlessedRebuS/Krawl,generate_fake_config_file,L3,heuristic,3,34,Agree,
rwt2_23a838e2a8b0,unionai-oss/pandera,check_column_names_are_unique,L0,heuristic,3,29,Agree,
rwt2_9826426689ae,LiberTEM/LiberTEM,combine_slices,L0,heuristic,10,53,Agree,
rwt2_7231a1f3d995,kstevica/captain-claw,_write_image,L3,heuristic,6,48,Agree,
rwt2_5c26465c356f,tyxak/remotepower,_run_automation_action,L3,heuristic,25,36,Agree,
rwt2_b03ef00b6cd0,unionai-oss/pandera,_build_number_equivalents,L2,heuristic,4,31,Agree,
rwt2_69988f57d352,yukinarit/pyserde,data,L2,heuristic,4,19,Agree,
rwt2_b706193e1edb,kstevica/captain-claw,_receive_loop,L3,heuristic,10,24,Agree,
rwt2_642d18eee196,unionai-oss/pandera,check_column_presence,L1,heuristic,6,30,Agree,
rwt2_69f222f126ec,kstevica/captain-claw,get_updates,L3,heuristic,6,27,Agree,
rwt2_3752a8dfc79f,sstklen/trump-code,get_dual_platform,L3,heuristic,5,11,Agree,
rwt2_b7680361bcb9,tyxak/remotepower,heartbeat_once,L3,heuristic,7,19,Agree,
rwt2_c181558e2bdd,rocketride-org/rocketride-server,list_files,L2,heuristic,8,22,Disagree (L3),File system traversal is generally considered an L3 dependency
rwt2_a999534aff39,kstevica/captain-claw,append_tool_output,L2,heuristic,10,29,Agree,
rwt2_ff1be63bb103,gptme/gptme,init,L3,heuristic,5,23,Agree,
rwt2_aadb1dfe2c36,sstklen/trump-code,generate_learning_report,L3,heuristic,14,74,Agree,
rwt2_739d6a0d3524,rocketride-org/rocketride-server,_ensure_openai_compat_reasoning_stream,L2,heuristic,8,20,Agree,
rwt2_19ecfd9b1d3d,unionai-oss/pandera,_normalize_native_output,L0,heuristic,14,78,Agree,
