id,repo,func_name,dependency_level,level_confidence,cyclomatic_complexity,loc,manual_label,notes
rwt2_9988f68bc34e,zauberzeug/rosys,find_ip,L3,heuristic,3,6,,
rwt2_0b2336a51e91,tyxak/remotepower,_record_fleet_event,L3,heuristic,12,71,,
rwt2_931884b23953,SuperCowPowers/workbench,_monitor,L3,heuristic,6,24,,
rwt2_7ae58a5c2c8f,vortex-exoplanet/VIP,cevr_to_ncomp,L2,heuristic,5,19,,
rwt2_99ed6aee2312,unionai-oss/pandera,check_shape,L0,heuristic,6,25,,
rwt2_c3ce53fc3cf0,rocketride-org/rocketride-server,scrape_url,L0,heuristic,10,19,,
rwt2_658bc8e23d3f,MechanicalSoup/MechanicalSoup,download_link,L2,heuristic,4,28,,
rwt2_08b3559022bd,tyxak/remotepower,_sanitize_str,L0,heuristic,4,8,,
rwt2_ed6ee18407b7,agentforce314/clawcodex,is_synthetic,L1,heuristic,4,5,,
rwt2_e157cc9b93af,tyxak/remotepower,handle_webterm_session_audit,L3,heuristic,9,37,,
rwt2_75811d5a190c,tyxak/remotepower,_valid_abs_path,L0,heuristic,5,10,,
rwt2_4c639897b3dd,BlessedRebuS/Krawl,generate_fake_config_file,L3,heuristic,3,34,,
rwt2_23a838e2a8b0,unionai-oss/pandera,check_column_names_are_unique,L0,heuristic,3,29,,
rwt2_9826426689ae,LiberTEM/LiberTEM,combine_slices,L0,heuristic,10,53,,
rwt2_42d1df5fbb43,gmickel/flow-next,format_tool_use,L3,heuristic,17,39,,
rwt2_5c26465c356f,tyxak/remotepower,_run_automation_action,L3,heuristic,25,36,,
rwt2_b03ef00b6cd0,unionai-oss/pandera,_build_number_equivalents,L2,heuristic,4,31,,
rwt2_f5a824614732,agentforce314/clawcodex,_start_index_warm_if_needed,L0,heuristic,3,11,,
rwt2_642d18eee196,unionai-oss/pandera,check_column_presence,L1,heuristic,6,30,,
rwt2_7f68585dd019,Fergana-Labs/stash,integration_connect,L3,heuristic,3,34,,
rwt2_3e843e440b69,SuperCowPowers/workbench,describe,L1,heuristic,6,25,,
rwt2_b7680361bcb9,tyxak/remotepower,heartbeat_once,L3,heuristic,7,19,,
rwt2_c181558e2bdd,rocketride-org/rocketride-server,list_files,L2,heuristic,8,22,,
rwt2_442ae43d97d4,agentforce314/clawcodex,_build_assistant_inner,L3,heuristic,4,29,,
rwt2_54da2970e92f,alexei-led/ccgram,prune_stale_offsets,L3,heuristic,9,24,,
rwt2_071c137e4252,SuperCowPowers/workbench,purge_async_queue,L3,heuristic,3,16,,
rwt2_739d6a0d3524,rocketride-org/rocketride-server,_ensure_openai_compat_reasoning_stream,L2,heuristic,8,20,,
rwt2_19ecfd9b1d3d,unionai-oss/pandera,_normalize_native_output,L0,heuristic,14,78,,
rwt2_502dc7d57bb2,alexei-led/ccgram,finalize,L2,heuristic,3,14,,
rwt2_485080151710,MechanicalSoup/MechanicalSoup,open,L3,heuristic,3,14,,
