Model,Rating,CI_lower,CI_upper,CI_width,Rank,Rank_lower,Rank_upper
Qwen3-4B-Instruct Two-Shot T=0.0,1676.2320054941586,1600.5804570842863,1732.6387840738728,132.05832698958648,1,1,11
gemma-3-4b-it Two-Shot T=0.0,1573.610595452245,1461.7622352040169,1667.5118193459764,205.74958414195953,2,1,11
Ministral-3-8B-Instruct Two-Shot T=0.0,1544.116509313554,1455.1033491251328,1609.1498749554974,154.04652583036454,3,2,11
gemma-3-4b-it One-Shot T=0.0,1537.3150975861658,1313.87352391704,1717.142091088235,403.26856717119495,4,8,8
granite-4.0-micro One-Shot T=0.0,1489.023797951041,1340.332890854493,1599.4132826609232,259.08039180643027,5,5,6
Ministral-3-3B-Reasoning Two-Shot T=0.0,1478.4298943315275,1370.4735104412002,1545.5011812979176,175.02767085671735,6,4,11
Qwen3-4B-Instruct One-Shot T=0.0,1472.9929644557974,1377.116858147144,1534.911120785978,157.79426263883397,7,1,11
granite-4.0-micro Two-Shot T=0.0,1467.994698528376,1370.292637621623,1523.9229695354393,153.63033191381624,8,3,11
Ministral-3-3B-Reasoning One-Shot T=0.0,1304.8459641722936,1116.9228777473397,1421.0883764554533,304.16549870811355,9,1,11
Ministral-3-8B-Instruct One-Shot T=0.0,1291.6133971234062,1100.2335173933093,1426.053425556724,325.81990816341477,10,1,11
Pynguin (Baseline),977.6477926514099,740.0133612759213,1088.110976427255,348.0976151513338,11,1,11
