====================================================================================================
                                        WIN/LOSS/TIE RECORDS                                        
====================================================================================================

                                  Model  Wins  Losses  Ties  Total  Win Rate
       Qwen3-4B-Instruct Two-Shot T=0.0    45       5    19     69  0.652174
           gemma-3-4b-it Two-Shot T=0.0    24      10    11     45  0.533333
           gemma-3-4b-it One-Shot T=0.0     5       4     2     11  0.454545
 Ministral-3-8B-Instruct Two-Shot T=0.0    23      12    17     52  0.442308
       granite-4.0-micro One-Shot T=0.0    11       7     7     25  0.440000
       Qwen3-4B-Instruct One-Shot T=0.0    25      20    21     66  0.378788
 Ministral-3-8B-Instruct One-Shot T=0.0     9      16     1     26  0.346154
Ministral-3-3B-Reasoning Two-Shot T=0.0    18      17    18     53  0.339623
       granite-4.0-micro Two-Shot T=0.0    17      13    23     53  0.320755
Ministral-3-3B-Reasoning One-Shot T=0.0     8      17     5     30  0.266667
                     Pynguin (Baseline)     1      65     6     72  0.013889

====================================================================================================
