Model,Pipeline,N,n_mutation_completed,cMut_%_conditional_on_pass,uMut_%_unconditional
Qwen3-4B-Thinking-2507,Single-call,210,54,21.6,5.55
Qwen3-4B-Thinking-2507,Two-stage,210,55,23.15,6.06
Qwen3.5-4B,Single-call,210,57,15.43,4.19
Qwen3.5-4B,Two-stage,210,48,21.71,4.96
gemma-4-E4B-it,Single-call,210,34,25.55,4.14
gemma-4-E4B-it,Two-stage,210,45,24.29,5.21
granite-4.0-micro,Single-call,210,37,23.39,4.12
granite-4.0-micro,Two-stage,210,34,22.92,3.71
Ministral-3-3B-Reasoning-2512,Single-call,210,35,13.94,2.32
Ministral-3-3B-Reasoning-2512,Two-stage,210,23,22.62,2.48
