Model,Pipeline,N,exec_Pass1,exec_lo,exec_hi,gated_Pass1,gated_lo,gated_hi
Qwen3-4B-Thinking-2507,Single-call,210,86.19,80.87,90.21,80.0,74.07,84.85
Qwen3-4B-Thinking-2507,Two-stage,210,81.43,75.62,86.11,80.95,75.1,85.69
Qwen3.5-4B,Single-call,210,78.1,72.02,83.16,56.19,49.43,62.73
Qwen3.5-4B,Two-stage,210,73.33,66.97,78.86,70.0,63.49,75.79
gemma-4-E4B-it,Single-call,210,48.57,41.9,55.3,48.57,41.9,55.3
gemma-4-E4B-it,Two-stage,210,68.1,61.51,74.03,64.76,58.09,70.91
granite-4.0-micro,Single-call,210,55.71,48.95,62.27,50.0,43.3,56.7
granite-4.0-micro,Two-stage,210,48.1,41.43,54.83,48.1,41.43,54.83
Ministral-3-3B-Reasoning-2512,Single-call,210,52.38,45.64,59.03,24.76,19.41,31.02
Ministral-3-3B-Reasoning-2512,Two-stage,210,36.19,29.99,42.88,35.71,29.54,42.4
