Model,Pipeline,Tier,N,exec_Pass1,gated_Pass1,gated_lo,gated_hi
Qwen3-4B-Thinking-2507,Single-call,A,300,19.67,19.0,14.96,23.82
Qwen3-4B-Thinking-2507,Single-call,B,300,19.0,18.33,14.36,23.1
Qwen3-4B-Thinking-2507,Single-call,C,300,17.0,17.0,13.17,21.66
Qwen3-4B-Thinking-2507,Two-stage,A,300,20.0,17.67,13.77,22.38
Qwen3-4B-Thinking-2507,Two-stage,B,300,18.0,17.0,13.17,21.66
Qwen3-4B-Thinking-2507,Two-stage,C,300,12.33,10.33,7.38,14.29
Qwen3.5-4B,Single-call,A,300,21.67,19.67,15.56,24.54
Qwen3.5-4B,Single-call,B,300,23.33,22.0,17.68,27.03
Qwen3.5-4B,Single-call,C,300,19.0,16.67,12.88,21.3
Qwen3.5-4B,Two-stage,A,300,29.67,23.67,19.21,28.79
Qwen3.5-4B,Two-stage,B,300,25.67,17.33,13.47,22.02
Qwen3.5-4B,Two-stage,C,300,22.67,16.0,12.29,20.57
gemma-4-E4B-it,Single-call,A,300,21.67,18.33,14.36,23.1
gemma-4-E4B-it,Single-call,B,300,20.33,17.0,13.17,21.66
gemma-4-E4B-it,Single-call,C,300,40.67,36.0,30.78,41.58
gemma-4-E4B-it,Two-stage,A,300,41.67,27.0,22.29,32.29
gemma-4-E4B-it,Two-stage,B,300,45.33,26.33,21.67,31.59
gemma-4-E4B-it,Two-stage,C,300,43.33,25.67,21.05,30.9
granite-4.0-micro,Single-call,A,300,30.33,16.0,12.29,20.57
granite-4.0-micro,Single-call,B,300,14.0,10.67,7.66,14.67
granite-4.0-micro,Single-call,C,300,16.67,8.67,5.98,12.4
granite-4.0-micro,Two-stage,A,300,30.0,24.33,19.82,29.49
granite-4.0-micro,Two-stage,B,300,30.0,23.0,18.6,28.09
granite-4.0-micro,Two-stage,C,300,28.33,18.67,14.66,23.46
Ministral-3-3B-Reasoning-2512,Single-call,A,300,12.33,6.0,3.83,9.28
Ministral-3-3B-Reasoning-2512,Single-call,B,300,14.0,6.33,4.09,9.68
Ministral-3-3B-Reasoning-2512,Single-call,C,300,12.33,7.33,4.89,10.85
Ministral-3-3B-Reasoning-2512,Two-stage,A,300,17.0,11.67,8.51,15.79
Ministral-3-3B-Reasoning-2512,Two-stage,B,300,15.67,9.67,6.81,13.54
Ministral-3-3B-Reasoning-2512,Two-stage,C,300,15.67,11.33,8.22,15.42
