Model,Tier,n_common,both_pass,both_fail,single_only_pass,two_stage_only_pass,odds_ratio_single_over_two,statistic,p_value,p_holm,significant_holm_0.05
Qwen3-4B-Thinking-2507,A,300,27,217,30,26,1.1538461538461537,26.0,0.6888797607233395,1.0,False
Qwen3-4B-Thinking-2507,B,300,30,224,25,21,1.1904761904761905,21.0,0.6587380770236564,1.0,False
Qwen3-4B-Thinking-2507,C,300,27,245,24,4,6.0,4.0,0.00017999112606048584,0.002339884638786316,True
Qwen3.5-4B,A,300,20,190,39,51,0.7647058823529411,39.0,0.24610644971627832,0.9844257988651133,False
Qwen3.5-4B,B,300,26,208,40,26,1.5384615384615385,26.0,0.10885696440971612,0.6531417864582967,False
Qwen3.5-4B,C,300,16,218,34,32,1.0625,32.0,0.9021585000966994,1.0,False
gemma-4-E4B-it,A,300,29,193,26,52,0.5,26.0,0.004334880883507413,0.04768368971858154,True
gemma-4-E4B-it,B,300,23,193,28,56,0.5,28.0,0.002985323184447229,0.035823878213366744,True
gemma-4-E4B-it,C,300,34,149,74,43,1.7209302325581395,43.0,0.005319279348701694,0.04787351413831525,True
granite-4.0-micro,A,300,24,203,24,49,0.4897959183673469,24.0,0.004626293921895512,0.04768368971858154,True
granite-4.0-micro,B,300,16,215,16,53,0.3018867924528302,16.0,9.095063055186201e-06,0.000136425945827793,True
granite-4.0-micro,C,300,11,229,15,45,0.3333333333333333,15.0,0.00013451408092849532,0.0018831971329989344,True
Ministral-3-3B-Reasoning-2512,A,300,3,250,15,32,0.46875,15.0,0.018623836615006432,0.14899069292005146,False
Ministral-3-3B-Reasoning-2512,B,300,6,258,13,23,0.5652173913043478,13.0,0.13249816396273675,0.6624908198136837,False
Ministral-3-3B-Reasoning-2512,C,300,7,251,15,27,0.5555555555555556,15.0,0.08842954698775429,0.61900682891428,False
