Model,Tier,n_common,both_pass,both_fail,single_only_pass,two_stage_only_pass,odds_ratio_single_over_two,statistic,p_value,p_holm,significant_holm_0.05
Qwen3-4B-Thinking-2507,A,299,28,208,31,32,0.96875,31.0,1.0,1.0,False
Qwen3-4B-Thinking-2507,B,299,31,219,26,23,1.1304347826086956,23.0,0.7754496546815659,1.0,False
Qwen3-4B-Thinking-2507,C,299,28,239,23,9,2.5555555555555554,9.0,0.020061607006937265,0.20276688224608796,False
Qwen3.5-4B,A,299,29,174,36,60,0.6,36.0,0.018433352931462543,0.20276688224608796,False
Qwen3.5-4B,B,299,33,186,37,43,0.8604651162790697,37.0,0.5764306261883931,1.0,False
Qwen3.5-4B,C,299,24,198,33,44,0.75,33.0,0.2543046661477,1.0,False
gemma-4-E4B-it,A,299,40,149,25,85,0.29411764705882354,25.0,7.8322157819456e-09,1.096510209472384e-07,True
gemma-4-E4B-it,B,299,35,137,26,101,0.25742574257425743,26.0,1.2436604444119747e-11,1.865490666617962e-10,True
gemma-4-E4B-it,C,299,62,109,60,68,0.8823529411764706,60.0,0.5362687140711067,1.0,False
granite-4.0-micro,A,299,36,155,54,54,1.0,54.0,1.0,1.0,False
granite-4.0-micro,B,299,21,188,21,69,0.30434782608695654,21.0,3.881817444056318e-07,5.0463626772732136e-06,True
granite-4.0-micro,C,299,22,187,27,63,0.42857142857142855,27.0,0.00018775579617929893,0.0022530695541515874,True
Ministral-3-3B-Reasoning-2512,A,299,8,220,29,42,0.6904761904761905,29.0,0.1539127693264563,1.0,False
Ministral-3-3B-Reasoning-2512,B,299,10,221,32,36,0.8888888888888888,32.0,0.716300760154337,1.0,False
Ministral-3-3B-Reasoning-2512,C,299,11,226,26,36,0.7222222222222222,26.0,0.25285439418811073,1.0,False
