Experiment,Model,Pipeline,N_tasks,Total_tokens,Total_GPU_seconds,Total_GPU_hours,Avg_tokens_per_task,Avg_seconds_per_task
Experiment A (TestEval),Qwen3-4B-Thinking-2507,Single-call,210,1087461,21377.9,5.938,5178.4,101.8
Experiment A (TestEval),Qwen3-4B-Thinking-2507,Two-stage,210,1426225,25319.3,7.033,6791.5,120.57
Experiment A (TestEval),Qwen3.5-4B,Single-call,210,1387909,24367.0,6.769,6609.1,116.03
Experiment A (TestEval),Qwen3.5-4B,Two-stage,210,1611240,23505.8,6.529,7672.6,111.93
Experiment A (TestEval),gemma-4-E4B-it,Single-call,210,22966,434.0,0.121,109.4,2.07
Experiment A (TestEval),gemma-4-E4B-it,Two-stage,210,250172,4370.2,1.214,1191.3,20.81
Experiment A (TestEval),granite-4.0-micro,Single-call,210,14083,186.7,0.052,67.1,0.89
Experiment A (TestEval),granite-4.0-micro,Two-stage,210,109795,1673.7,0.465,522.8,7.97
Experiment A (TestEval),Ministral-3-3B-Reasoning-2512,Single-call,210,128026,1094.9,0.304,609.6,5.21
Experiment A (TestEval),Ministral-3-3B-Reasoning-2512,Two-stage,210,188497,2190.5,0.608,897.6,10.43
Experiment B (RealWorldTests-Py v2),Qwen3-4B-Thinking-2507,Single-call,897,3560862,35488.8,9.858,3969.7,39.56
Experiment B (RealWorldTests-Py v2),Qwen3-4B-Thinking-2507,Two-stage,897,5889052,60210.3,16.725,6565.3,67.12
Experiment B (RealWorldTests-Py v2),Qwen3.5-4B,Single-call,897,1125576,11378.0,3.161,1254.8,12.68
Experiment B (RealWorldTests-Py v2),Qwen3.5-4B,Two-stage,897,4096931,41766.6,11.602,4567.4,46.56
Experiment B (RealWorldTests-Py v2),gemma-4-E4B-it,Single-call,897,174382,2013.8,0.559,194.4,2.25
Experiment B (RealWorldTests-Py v2),gemma-4-E4B-it,Two-stage,897,403784,4656.6,1.293,450.1,5.19
Experiment B (RealWorldTests-Py v2),granite-4.0-micro,Single-call,897,113498,978.5,0.272,126.5,1.09
Experiment B (RealWorldTests-Py v2),granite-4.0-micro,Two-stage,897,387563,3319.1,0.922,432.1,3.7
Experiment B (RealWorldTests-Py v2),Ministral-3-3B-Reasoning-2512,Single-call,897,203690,1689.0,0.469,227.1,1.88
Experiment B (RealWorldTests-Py v2),Ministral-3-3B-Reasoning-2512,Two-stage,897,1112205,9342.3,2.595,1239.9,10.42
