Model,Tier,n_common,both_pass,both_fail,single_only_pass,two_stage_only_pass,odds_ratio_single_over_two,statistic,p_value,p_holm,significant_holm_0.05
Qwen3-4B-Thinking-2507,A,300,28,209,31,32,0.96875,31.0,1.0,1.0,False
Qwen3-4B-Thinking-2507,B,300,31,220,26,23,1.1304347826086956,23.0,0.7754496546815659,1.0,False
Qwen3-4B-Thinking-2507,C,300,28,240,23,9,2.5555555555555554,9.0,0.020061607006937265,0.20276688224608796,False
Qwen3.5-4B,A,300,29,175,36,60,0.6,36.0,0.018433352931462543,0.20276688224608796,False
Qwen3.5-4B,B,300,33,186,37,44,0.8409090909090909,37.0,0.5052364407669357,1.0,False
Qwen3.5-4B,C,300,24,199,33,44,0.75,33.0,0.2543046661477,1.0,False
gemma-4-E4B-it,A,300,40,150,25,85,0.29411764705882354,25.0,7.8322157819456e-09,1.096510209472384e-07,True
gemma-4-E4B-it,B,300,35,138,26,101,0.25742574257425743,26.0,1.2436604444119747e-11,1.865490666617962e-10,True
gemma-4-E4B-it,C,300,62,110,60,68,0.8823529411764706,60.0,0.5362687140711067,1.0,False
granite-4.0-micro,A,300,36,155,55,54,1.0185185185185186,54.0,1.0,1.0,False
granite-4.0-micro,B,300,21,189,21,69,0.30434782608695654,21.0,3.881817444056318e-07,5.0463626772732136e-06,True
granite-4.0-micro,C,300,22,187,28,63,0.4444444444444444,28.0,0.0003128389964067163,0.003754067956880596,True
Ministral-3-3B-Reasoning-2512,A,300,8,220,29,43,0.6744186046511628,29.0,0.12491820036864004,1.0,False
Ministral-3-3B-Reasoning-2512,B,300,10,221,32,37,0.8648648648648649,32.0,0.6304564917867981,1.0,False
Ministral-3-3B-Reasoning-2512,C,300,11,227,26,36,0.7222222222222222,26.0,0.25285439418811073,1.0,False
