Model,Tier,n_common,both_pass,both_fail,single_only_pass,two_stage_only_pass,odds_ratio_single_over_two,statistic,p_value,p_holm,significant_holm_0.05
Qwen3-4B-Thinking-2507,A,299,28,218,27,26,1.0384615384615385,26.0,1.0,1.0,False
Qwen3-4B-Thinking-2507,B,299,29,225,24,21,1.1428571428571428,21.0,0.765991824244793,1.0,False
Qwen3-4B-Thinking-2507,C,299,27,242,23,7,3.2857142857142856,7.0,0.005222879350185395,0.05222879350185395,False
Qwen3.5-4B,A,299,12,201,15,71,0.2112676056338028,15.0,7.076057190944836e-10,9.90648006732277e-09,True
Qwen3.5-4B,B,299,31,192,33,43,0.7674418604651163,33.0,0.3018724904870079,1.0,False
Qwen3.5-4B,C,299,23,200,32,44,0.7272727272727273,32.0,0.20673684180839247,1.0,False
gemma-4-E4B-it,A,299,40,149,25,85,0.29411764705882354,25.0,7.8322157819456e-09,1.018188051652928e-07,True
gemma-4-E4B-it,B,299,33,139,25,102,0.24509803921568626,25.0,3.120665899290383e-12,4.680998848935575e-11,True
gemma-4-E4B-it,C,299,63,106,62,68,0.9117647058823529,62.0,0.6611696831388164,1.0,False
granite-4.0-micro,A,299,32,167,47,53,0.8867924528301887,47.0,0.6172994135892524,1.0,False
granite-4.0-micro,B,299,18,195,20,66,0.30303030303030304,20.0,6.669778822829637e-07,8.003734587395564e-06,True
granite-4.0-micro,C,299,21,192,27,59,0.4576271186440678,27.0,0.0007317100653124087,0.008048810718436496,True
Ministral-3-3B-Reasoning-2512,A,299,7,220,26,46,0.5652173913043478,26.0,0.02446090732832437,0.22014816595491934,False
Ministral-3-3B-Reasoning-2512,B,299,8,220,30,41,0.7317073170731707,30.0,0.23509756240834187,1.0,False
Ministral-3-3B-Reasoning-2512,C,299,11,225,29,34,0.8529411764705882,29.0,0.6146550157654618,1.0,False
